data_clean,label
jalan jatibarupolisi gertak gubernur emangny polisi pmbhasan politik atur wilayahhak gubernur tn abang turun temurunpelikperlu sabar nama guna nama guna uniform resource locator,anger
cewek kayak rasa sibuk jaga rasa sakit haid panik pulang malam orang asing wajar korban takut curhat bela hujat,anger
gudeg mbarek bu hj foto google sengaja biar temanteman bayang bagi indah,happy
jalan jatibarubagian wilayah tn abangpengaturan wilayah wwnang gubtng abng rumitsejak gubernur trdahuluskrg sedng dibenahiagr manfaat pihakmohon otakberpikirlah wajarkecuali otak butekya uniform resource locator,anger
sharing alam kemarin jam batalin tiket stasiun pasar senin lancar antre ramai menit beres coba twit jamjam cc nama guna,happy
sekian thread baca thread aneh sih tulis sumpah aneh sekali maki lebay bikin thread aduh jago tulis tulis beranta thread mbak,anger
sharing teman sekali di saat berat sekali teman berat ada nya banding,happy
orang pakai ponco jas hujan pakai kasur ya gara saking mamak bilang pernik ada alami madu mirip orang tidur nya pakai ponco gimane madu,sadness
contoh gemar sudut teriak toleran gemar tuduh gemar nilai dasar versi,anger
pulang lebaran dilema di rumah lebaran buka puasa bareng keluarga sahur,sadness
min rakyat indonesia harap nya tinggal tentara nasional indonesia lihat serang kantor media ada unsur pidana hina presiden indonesia sah lucu lucu an uniform resource locator,anger
fansite ngejual hasil jepret uang nya lari idol belikan hadiah dan bagai kpopers ya fansite ada jaman kamera bening,anger
syukur doa kakek karno anakanak yatim piatu nama guna,happy
sulit terima nyata ada anggap interaksi orang golong langsung golong ajar utuh klaim,sadness
samanye maling sih jancuk sih anjing sih siluman monyet haha hati maling,anger
ku amuk baca komen warganet mahabenar ya lord habis pikir komen bikin leceh seksual tenggelam ada hukum laku sedih rata rata komen jahat perempuan mbaq sehat uniform resource locator,anger
sempat hadir buat aman nyaman hormat,love
sedap kali ya tidur kasur ku tidur tidur baca pakai logat mamak dahlia keluarga badak,anger
bank ramai sekali antre duduk ada di luar toko emas luber mbak nya jual swalayan antre kasir naudzubilah bahagia kayak moga oh moga rumah sakit sepi pasien sembuh pulang bahagia,happy
